ConvertedComp,JobSat,Country_JobSeek
53575.0,5.0,Austria-no
48120.0,4.0,Austria-somewhat
32289.5,3.0,Austria-yes
47067.0,5.0,Belgium-no
48120.0,4.0,Belgium-somewhat
49500.0,2.0,Belgium-yes
68705.0,5.0,Canada-no
62774.0,4.0,Canada-somewhat
58017.0,2.0,Canada-yes
56376.0,5.0,Finland-no
58056.0,4.0,Finland-somewhat
46611.5,3.5,Finland-yes
46156.0,5.0,France-no
44502.0,4.0,France-somewhat
44111.0,3.0,France-yes
59579.0,5.0,Germany-no
59579.0,4.0,Germany-somewhat
54996.0,2.0,Germany-yes
68745.0,4.0,Ireland-no
68745.0,4.0,Ireland-somewhat
50806.0,2.0,Ireland-yes
54204.5,5.0,Netherlands-no
60065.5,4.0,Netherlands-somewhat
59262.0,2.0,Netherlands-yes
64630.0,5.0,United Kingdom-no
56264.0,4.0,United Kingdom-somewhat
55388.0,2.0,United Kingdom-yes
